,timestamp,Open,High,Low,Close,Volume,quote_volume,close,high,low,open,volume,DateTime,ATR,SuperTrend,TrendDir,AdaptiveATR,shifted_dir
170,1747808700000,0.0017055,0.0017187,0.0017055,0.0017163,8006000.0,13715.56199,0.0017163,0.0017187,0.0017055,0.0017055,8006000.0,2025-05-21 06:25:00,9.26999999999996e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
169,1747809000000,0.0017163,0.0017179,0.0017087,0.0017173,4569800.0,7819.7255,0.0017173,0.0017179,0.0017087,0.0017163,4569800.0,2025-05-21 06:30:00,9.469999999999965e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
168,1747809300000,0.0017173,0.0017223,0.0017111,0.0017122,4005500.0,6879.96204,0.0017122,0.0017223,0.0017111,0.0017173,4005500.0,2025-05-21 06:35:00,9.68999999999998e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
167,1747809600000,0.0017122,0.0017174,0.0017103,0.0017157,3828400.0,6565.8957,0.0017157,0.0017174,0.0017103,0.0017122,3828400.0,2025-05-21 06:40:00,9.359999999999968e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
166,1747809900000,0.0017157,0.0017202,0.0017065,0.0017065,12356800.0,21193.73389,0.0017065,0.0017202,0.0017065,0.0017157,12356800.0,2025-05-21 06:45:00,1.0199999999999987e-05,0.0016965953333333333,-1.0,1.1722380952380944e-05,-1.0
165,1747810200000,0.0017065,0.0017125,0.0017065,0.0017112,2196000.0,3754.92506,0.0017112,0.0017125,0.0017065,0.0017065,2196000.0,2025-05-21 06:50:00,9.590000000000012e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
164,1747810500000,0.0017112,0.0017132,0.0017073,0.0017114,506400.0,866.07432,0.0017114,0.0017132,0.0017073,0.0017112,506400.0,2025-05-21 06:55:00,9.480000000000014e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
163,1747810800000,0.0017114,0.0017169,0.0017089,0.0017091,1446700.0,2478.91625,0.0017091,0.0017169,0.0017089,0.0017114,1446700.0,2025-05-21 07:00:00,8.960000000000023e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
162,1747811100000,0.0017091,0.0017097,0.0017054,0.0017091,4532600.0,7740.06206,0.0017091,0.0017097,0.0017054,0.0017091,4532600.0,2025-05-21 07:05:00,8.370000000000035e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,1.0
161,1747811400000,0.0017091,0.0017103,0.0016939,0.0016956,18242100.0,30978.47254,0.0016956,0.0017103,0.0016939,0.0017091,18242100.0,2025-05-21 07:10:00,9.500000000000068e-06,0.0017147546666666665,1.0,8.451555555555538e-06,1.0
160,1747811700000,0.0016956,0.0016976,0.0016841,0.0016914,11236700.0,18970.77567,0.0016914,0.0016976,0.0016841,0.0016956,11236700.0,2025-05-21 07:15:00,9.530000000000063e-06,0.0017147546666666665,1.0,8.451555555555538e-06,1.0
159,1747812000000,0.0016914,0.0016914,0.001675,0.0016762,10240700.0,17228.90518,0.0016762,0.0016914,0.001675,0.0016914,10240700.0,2025-05-21 07:20:00,1.025000000000006e-05,0.0017147546666666665,1.0,1.1722380952380944e-05,1.0
158,1747812300000,0.0016762,0.0016842,0.0016735,0.0016816,5366000.0,9022.59375,0.0016816,0.0016842,0.0016735,0.0016762,5366000.0,2025-05-21 07:25:00,1.0200000000000053e-05,0.0017140171428571428,1.0,1.1722380952380944e-05,1.0
157,1747812600000,0.0016816,0.0016816,0.0016723,0.0016789,5172300.0,8675.86825,0.0016789,0.0016816,0.0016723,0.0016816,5172300.0,2025-05-21 07:30:00,1.0420000000000048e-05,0.0017121171428571428,1.0,1.1722380952380944e-05,1.0
156,1747812900000,0.0016789,0.0016817,0.0016661,0.0016671,9269800.0,15480.57232,0.0016671,0.0016817,0.0016661,0.0016789,9269800.0,2025-05-21 07:35:00,1.0610000000000025e-05,0.0017090671428571427,1.0,1.1722380952380944e-05,1.0
155,1747813200000,0.0016671,0.0016724,0.0016646,0.001669,13417200.0,22360.80749,0.001669,0.0016724,0.0016646,0.0016671,13417200.0,2025-05-21 07:40:00,1.0790000000000019e-05,0.0017036671428571429,1.0,1.1722380952380944e-05,1.0
154,1747813500000,0.001669,0.0016788,0.0016643,0.0016788,10316400.0,17255.21495,0.0016788,0.0016788,0.0016643,0.001669,10316400.0,2025-05-21 07:45:00,1.1650000000000007e-05,0.0017036671428571429,1.0,1.1722380952380944e-05,1.0
153,1747813800000,0.0016788,0.0016802,0.0016752,0.0016752,1064600.0,1786.5173,0.0016752,0.0016802,0.0016752,0.0016788,1064600.0,2025-05-21 07:50:00,1.135000000000001e-05,0.0017036671428571429,1.0,1.1722380952380944e-05,1.0
152,1747814100000,0.0016752,0.0016767,0.0016706,0.0016713,2961000.0,4953.4826,0.0016713,0.0016767,0.0016706,0.0016752,2961000.0,2025-05-21 07:55:00,1.1530000000000003e-05,0.0017036671428571429,1.0,1.1722380952380944e-05,1.0
151,1747814400000,0.0016713,0.0016778,0.0016713,0.0016778,1937300.0,3243.99983,0.0016778,0.0016778,0.0016713,0.0016713,1937300.0,2025-05-21 08:00:00,1.0539999999999985e-05,0.0017036671428571429,1.0,1.1722380952380944e-05,1.0
150,1747814700000,0.0016778,0.0016793,0.0016744,0.0016769,2554900.0,4286.7595,0.0016769,0.0016793,0.0016744,0.0016778,2554900.0,2025-05-21 08:05:00,9.679999999999997e-06,0.0017022046666666667,1.0,8.451555555555538e-06,1.0
149,1747815000000,0.0016769,0.0016841,0.0016769,0.001683,3096100.0,5205.92296,0.001683,0.0016841,0.0016769,0.0016769,3096100.0,2025-05-21 08:10:00,8.759999999999996e-06,0.0017022046666666667,1.0,8.451555555555538e-06,1.0
148,1747815300000,0.001683,0.001683,0.0016697,0.0016704,3404400.0,5703.74922,0.0016704,0.001683,0.0016697,0.001683,3404400.0,2025-05-21 08:15:00,9.019999999999992e-06,0.0017017046666666666,1.0,8.451555555555538e-06,1.0
147,1747815600000,0.0016704,0.0016704,0.001654,0.0016581,29871800.0,49519.59612,0.0016581,0.0016704,0.001654,0.0016704,29871800.0,2025-05-21 08:20:00,9.730000000000003e-06,0.0016875546666666665,1.0,8.451555555555538e-06,1.0
146,1747815900000,0.0016581,0.0016631,0.0016581,0.0016621,9183600.0,15242.49337,0.0016621,0.0016631,0.0016581,0.0016581,9183600.0,2025-05-21 08:25:00,8.67000000000001e-06,0.0016859546666666665,1.0,8.451555555555538e-06,1.0
145,1747816200000,0.0016621,0.0016631,0.001658,0.001661,7106200.0,11793.40203,0.001661,0.0016631,0.001658,0.0016621,7106200.0,2025-05-21 08:30:00,8.40000000000001e-06,0.0016859046666666665,1.0,8.451555555555538e-06,1.0
144,1747816500000,0.001661,0.0016634,0.0016572,0.0016606,5396400.0,8954.57207,0.0016606,0.0016634,0.0016572,0.001661,5396400.0,2025-05-21 08:35:00,7.570000000000016e-06,0.0016856546666666665,1.0,8.451555555555538e-06,1.0
143,1747816800000,0.0016606,0.0016632,0.0016564,0.0016612,1212300.0,2013.61331,0.0016612,0.0016632,0.0016564,0.0016606,1212300.0,2025-05-21 08:40:00,7.75000000000003e-06,0.0016851546666666664,1.0,8.451555555555538e-06,1.0
142,1747817100000,0.0016612,0.0016641,0.0016579,0.0016624,1060800.0,1762.71994,0.0016624,0.0016641,0.0016579,0.0016612,1060800.0,2025-05-21 08:45:00,7.760000000000038e-06,0.0016851546666666664,1.0,8.451555555555538e-06,1.0
141,1747817400000,0.0016624,0.0016626,0.0016569,0.0016591,1213400.0,2014.78335,0.0016591,0.0016626,0.0016569,0.0016624,1213400.0,2025-05-21 08:50:00,7.680000000000035e-06,0.0016851046666666665,1.0,8.451555555555538e-06,1.0
140,1747817700000,0.0016591,0.0016627,0.0016574,0.0016587,2073600.0,3439.82583,0.0016587,0.0016627,0.0016574,0.0016591,2073600.0,2025-05-21 08:55:00,7.720000000000014e-06,0.0016851046666666665,1.0,8.451555555555538e-06,1.0
139,1747818000000,0.0016587,0.0016659,0.0016565,0.0016652,4927500.0,8186.03405,0.0016652,0.0016659,0.0016565,0.0016587,4927500.0,2025-05-21 09:00:00,7.94000000000003e-06,0.0016851046666666665,1.0,8.451555555555538e-06,1.0
138,1747818300000,0.0016652,0.0016654,0.0016556,0.0016632,4879400.0,8091.60932,0.0016632,0.0016654,0.0016556,0.0016652,4879400.0,2025-05-21 09:05:00,7.590000000000049e-06,0.0016851046666666665,1.0,8.451555555555538e-06,1.0
137,1747818600000,0.0016632,0.0016632,0.0016583,0.00166,1921400.0,3188.9649,0.00166,0.0016632,0.0016583,0.0016632,1921400.0,2025-05-21 09:10:00,6.44000000000007e-06,0.0016851046666666665,1.0,8.451555555555538e-06,1.0
136,1747818900000,0.00166,0.0016664,0.00166,0.0016605,3170800.0,5273.50554,0.0016605,0.0016664,0.00166,0.00166,3170800.0,2025-05-21 09:15:00,6.580000000000062e-06,0.0016851046666666665,1.0,8.451555555555538e-06,1.0
135,1747819200000,0.0016605,0.0016626,0.0016601,0.0016622,362700.0,602.62167,0.0016622,0.0016626,0.0016601,0.0016605,362700.0,2025-05-21 09:20:00,6.320000000000045e-06,0.0016851046666666665,1.0,8.451555555555538e-06,1.0
134,1747819500000,0.0016622,0.0016624,0.0016568,0.0016603,2703500.0,4487.64888,0.0016603,0.0016624,0.0016568,0.0016622,2703500.0,2025-05-21 09:25:00,6.260000000000054e-06,0.0016849546666666665,1.0,8.451555555555538e-06,1.0
133,1747819800000,0.0016603,0.0016621,0.0016568,0.0016608,690000.0,1144.95476,0.0016608,0.0016621,0.0016568,0.0016603,690000.0,2025-05-21 09:30:00,6.110000000000035e-06,0.0016848046666666663,1.0,8.451555555555538e-06,1.0
132,1747820100000,0.0016608,0.0016626,0.0016608,0.0016621,283300.0,470.77479,0.0016621,0.0016626,0.0016608,0.0016608,283300.0,2025-05-21 09:35:00,5.670000000000024e-06,0.0016848046666666663,1.0,8.451555555555538e-06,1.0
131,1747820400000,0.0016621,0.0016621,0.0016567,0.0016567,1092100.0,1810.13617,0.0016567,0.0016621,0.0016567,0.0016621,1092100.0,2025-05-21 09:40:00,5.640000000000007e-06,0.0016847546666666666,1.0,8.451555555555538e-06,1.0
130,1747820700000,0.0016567,0.0016596,0.0016563,0.001657,2057800.0,3410.45395,0.001657,0.0016596,0.0016563,0.0016567,2057800.0,2025-05-21 09:45:00,5.440000000000002e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
129,1747821000000,0.001657,0.0016602,0.0016567,0.0016591,1423500.0,2361.69827,0.0016591,0.0016602,0.0016567,0.001657,1423500.0,2025-05-21 09:50:00,4.849999999999971e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
128,1747821300000,0.0016591,0.0016608,0.001658,0.0016586,1896800.0,3147.00885,0.0016586,0.0016608,0.001658,0.0016591,1896800.0,2025-05-21 09:55:00,4.149999999999965e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
127,1747821600000,0.0016586,0.0016626,0.0016563,0.0016615,2644600.0,4384.39412,0.0016615,0.0016626,0.0016563,0.0016586,2644600.0,2025-05-21 10:00:00,4.289999999999936e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
126,1747821900000,0.0016615,0.0016637,0.0016587,0.0016637,1680800.0,2790.91839,0.0016637,0.0016637,0.0016587,0.0016615,1680800.0,2025-05-21 10:05:00,4.149999999999943e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
